Threshold,MCC,Precision,Recall,True_F1,False_F1,TN,FP,FN,TP,CV_AUC_PR,CV_AUC_ROC
0.1,0.6021776454249123,0.9977728891825073,0.9941263660149346,0.9959462897965764,0.5957776486538834,6152,2289,6059,1025500,0.9999380606067892,0.9931291568650451
0.2,0.5674331084654525,0.9987371388853538,0.9889885115635655,0.9938389195776623,0.5306667656116656,7151,1290,11359,1020200,0.9999380606067892,0.9931291568650451
0.3,0.5207227042943201,0.9992059645265144,0.9832321757650314,0.9911547145620575,0.4575555089443562,7635,806,17297,1014262,0.9999380606067892,0.9931291568650451
0.4,0.47517661570190095,0.9995196868834824,0.9763784718082049,0.9878135673426555,0.39038390776401327,7957,484,24367,1007192,0.9999380606067892,0.9931291568650451
0.5,0.42799127490213257,0.9996846161778885,0.967921369499951,0.9835466143142387,0.32727858552499095,8126,315,33091,998468,0.9999380606067892,0.9931291568650451
0.6,0.3829996619691842,0.9998035534547252,0.9571454468430792,0.9780095636432974,0.27085967649232284,8247,194,44207,987352,0.9999380606067892,0.9931291568650451
0.7,0.3359538946488055,0.999891912368725,0.9416126464894398,0.9698775782042174,0.21649979871959693,8336,105,60230,971329,0.9999380606067892,0.9931291568650451
0.8,0.28247038547710474,0.9999449416169377,0.9155074988439827,0.955865124232608,0.1613439883064555,8389,52,87159,944400,0.9999380606067892,0.9931291568650451
0.9,0.21604920182000434,0.9999751604409699,0.858566499831808,0.9238912334012955,0.10345484372407945,8419,22,145897,885662,0.9999380606067892,0.9931291568650451
0.95,0.1705781578194222,0.9999852284421422,0.7875070645498706,0.881117568932894,0.07141132465507966,8429,12,219199,812360,0.9999380606067892,0.9931291568650451
0.99,0.10039731134336255,0.9999947766313451,0.5567679599518787,0.7152856869757227,0.035595940932168176,8438,3,457220,574339,0.9999380606067892,0.9931291568650451
