Feature,Coefficient,Importance
current_kurtosis,3.0730099526150303,3.0730099526150303
AvsE,-3.0382634219682982,3.0382634219682982
total_power,-3.0251004393960828,3.0251004393960828
time_to_peak,-2.309841993949523,2.309841993949523
tail_slope_no_pz,-1.6374033863573099,1.6374033863573099
tdrift50,1.1659547458686164,1.1659547458686164
LQ80,-1.1519857401268092,1.1519857401268092
SCA,1.0223497508729684,1.0223497508729684
GradWidthMain,1.0166931901198153,1.0166931901198153
ED,-0.6996199978346487,0.6996199978346487
HFER,-0.6342202097699265,0.6342202097699265
current_skewness,-0.496609807045335,0.496609807045335
time_to_main_peak,0.4325339120089243,0.4325339120089243
tfr,-0.39410020188383155,0.39410020188383155
tdrift99,0.36027504679501765,0.36027504679501765
PPR,0.28184974718782624,0.28184974718782624
tdrift10,0.2708078903385409,0.2708078903385409
tp0,-0.15689643471730255,0.15689643471730255
tail_slope,0.1322412213032837,0.1322412213032837
ND80,0.0878655196492684,0.0878655196492684
gbn,0.07512821050205962,0.07512821050205962
HWP,-0.0649804146604117,0.0649804146604117
peak_count,0.04760369354878639,0.04760369354878639
current_width,0.04748280518691855,0.04748280518691855
GradAreaRatio,0.03685193001267402,0.03685193001267402
bpr,-0.03299336804683339,0.03299336804683339
spectral_centroid_power,-0.014466785532120685,0.014466785532120685
