Threshold,MCC,Precision,Recall,True_F1,False_F1,TN,FP,FN,TP,CV_AUC_PR,CV_AUC_ROC
0.1,0.11129938799135869,0.9919913759196983,0.999992244747998,0.9959757424552412,0.026395701938799344,113,8328,8,1031551,0.9998275520029707,0.981592950315331
0.2,0.33399602376545756,0.9929004894089741,0.9998739771549664,0.9963750318180918,0.22123067344609318,1066,7375,130,1031429,0.9998275520029707,0.981592950315331
0.3,0.4607967869174078,0.9940016080549284,0.99951238853037,0.9967493814157423,0.3975633790199767,2219,6222,503,1031056,0.9998275520029707,0.981592950315331
0.4,0.5297813375644791,0.9949054559988569,0.9990092665567359,0.9969531381129578,0.5011483329373565,3164,5277,1022,1030537,0.9998275520029707,0.981592950315331
0.5,0.5693933469771763,0.9956839415359715,0.998307416250549,0.9969939530533886,0.5615645297938435,3977,4464,1746,1029813,0.9998275520029707,0.981592950315331
0.6,0.5836771076330685,0.9963572650334248,0.9972333138482626,0.9967950969586125,0.5859154929577465,4680,3761,2854,1028705,0.9998275520029707,0.981592950315331
0.7,0.5850648714839821,0.996961256259948,0.9958024698538813,0.9963815261414246,0.587356893977103,5310,3131,4330,1027229,0.9998275520029707,0.981592950315331
0.8,0.5725806939746113,0.9976187671522266,0.9934022193592417,0.9955060283918751,0.5644477921099708,5995,2446,6806,1024753,0.9998275520029707,0.981592950315331
0.9,0.5109066333458809,0.9984554332637264,0.9863536646958633,0.9923676555569915,0.46738131699846863,6867,1574,14077,1017482,0.9998275520029707,0.981592950315331
0.95,0.42235842217518865,0.9989532577861402,0.9732560134708728,0.985937222267505,0.34036574692523835,7389,1052,27588,1003971,0.9998275520029707,0.981592950315331
0.99,0.22942312104701945,0.9995964779543187,0.8837129044485095,0.9380894239293573,0.11831084992415972,8073,368,119957,911602,0.9998275520029707,0.981592950315331
