Threshold,MCC,Precision,Recall,True_F1,False_F1,TN,FP,FN,TP,CV_AUC_PR,CV_AUC_ROC
0.1,0.5168772580236229,0.9943818220215991,0.9996180538388982,0.9969930627734404,0.45676855895196505,2615,5826,394,1031165,0.9999621647839548,0.9956782427249997
0.2,0.5966103653407597,0.995417615093188,0.9992079948892889,0.9973092035687643,0.5706345530338119,3696,4745,817,1030742,0.9999621647839548,0.9956782427249997
0.3,0.6420841260123027,0.9961788772744721,0.9987785478096745,0.9974770186996869,0.6326990838618746,4489,3952,1260,1030299,0.9999621647839548,0.9956782427249997
0.4,0.6676916249683934,0.9967671214313715,0.9982899669335443,0.9975279629814394,0.6665359989546583,5101,3340,1764,1029795,0.9999621647839548,0.9956782427249997
0.5,0.6830326417283297,0.997231001160693,0.9977946002119122,0.9975127210773266,0.6850727038468618,5583,2858,2275,1029284,0.9999621647839548,0.9956782427249997
0.6,0.6915359025738815,0.9976606644411297,0.9971799964907485,0.9974202725561313,0.6938258818113816,6029,2412,2909,1028650,0.9999621647839548,0.9956782427249997
0.7,0.6937897927120951,0.998052213495267,0.9964345228920498,0.997242712154478,0.6936509647515361,6435,2006,3678,1027881,0.9999621647839548,0.9956782427249997
0.8,0.6878931450522272,0.998480917129264,0.9952799597502421,0.9968778688918546,0.6814602010996087,6879,1562,4869,1026690,0.9999621647839548,0.9956782427249997
0.9,0.6620413171685876,0.9989672504286057,0.9930202731981399,0.9959848846146554,0.6412717717065544,7382,1059,7200,1024359,0.9999621647839548,0.9956782427249997
0.95,0.6259432364938474,0.9993024602705632,0.9902012390953886,0.9947310323738888,0.5881949994291585,7728,713,10108,1021451,0.9999621647839548,0.9956782427249997
0.99,0.5166466701798691,0.9997289921971513,0.9798441000466285,0.9896866738470577,0.43673796791443853,8167,274,20792,1010767,0.9999621647839548,0.9956782427249997
