id,EnergyDuration
130000_train2,3426
130001_train2,3440
130002_train2,3430
130003_train2,3433
130004_train2,3420
130005_train2,3421
130006_train2,3415
130007_train2,3423
130008_train2,3418
130009_train2,3424
130010_train2,3420
130011_train2,3418
130012_train2,3423
130013_train2,3420
130014_train2,3420
130015_train2,3418
130016_train2,3408
130017_train2,3434
130018_train2,3418
130019_train2,3424
130020_train2,3420
130021_train2,3421
130022_train2,3428
130023_train2,3420
130024_train2,3425
130025_train2,3424
130026_train2,3422
130027_train2,3419
130028_train2,3427
130029_train2,3425
130030_train2,3415
130031_train2,3426
130032_train2,3422
130033_train2,3421
130034_train2,3425
130035_train2,3412
130036_train2,3421
130037_train2,3432
130038_train2,3409
130039_train2,3419
130040_train2,3421
130041_train2,3431
130042_train2,3415
130043_train2,3418
130044_train2,3424
130045_train2,3420
130046_train2,3426
130047_train2,3426
130048_train2,3416
130049_train2,3419
130050_train2,3415
130051_train2,3418
130052_train2,3423
130053_train2,3425
130054_train2,3422
130055_train2,3423
130056_train2,3429
130057_train2,3412
130058_train2,3439
130059_train2,3425
130060_train2,3435
130061_train2,3429
130062_train2,3414
130063_train2,3431
130064_train2,3415
130065_train2,3426
130066_train2,3422
130067_train2,3428
130068_train2,3421
130069_train2,3424
130070_train2,3433
130071_train2,3417
130072_train2,3419
130073_train2,3410
130074_train2,3414
130075_train2,3434
130076_train2,3432
130077_train2,3424
130078_train2,3428
130079_train2,3416
130080_train2,3417
130081_train2,3429
130082_train2,3417
130083_train2,3420
130084_train2,3426
130085_train2,3425
130086_train2,3427
130087_train2,3427
130088_train2,3436
130089_train2,3422
130090_train2,3425
130091_train2,3428
130092_train2,3430
130093_train2,3416
130094_train2,3420
130095_train2,3421
130096_train2,3429
130097_train2,3439
130098_train2,3420
130099_train2,3422
130100_train2,3435
130101_train2,3422
130102_train2,3420
130103_train2,3421
130104_train2,3410
130105_train2,3427
130106_train2,3429
130107_train2,3432
130108_train2,3426
130109_train2,3413
130110_train2,3412
130111_train2,3417
130112_train2,3412
130113_train2,3429
130114_train2,3427
130115_train2,3424
130116_train2,3427
130117_train2,3415
130118_train2,3427
130119_train2,3417
130120_train2,3418
130121_train2,3424
130122_train2,3434
130123_train2,3424
130124_train2,3415
130125_train2,3413
130126_train2,3424
130127_train2,3409
130128_train2,3423
130129_train2,3423
130130_train2,3416
130131_train2,3415
130132_train2,3431
130133_train2,3424
130134_train2,3410
130135_train2,3418
130136_train2,3416
130137_train2,3415
130138_train2,3422
130139_train2,3431
130140_train2,3400
130141_train2,3439
130142_train2,3424
130143_train2,3434
130144_train2,3427
130145_train2,3432
130146_train2,3422
130147_train2,3434
130148_train2,3428
130149_train2,3429
130150_train2,3434
130151_train2,3427
130152_train2,3424
130153_train2,3419
130154_train2,3427
130155_train2,3406
130156_train2,3428
130157_train2,3433
130158_train2,3429
130159_train2,3422
130160_train2,3418
130161_train2,3425
130162_train2,3429
130163_train2,3417
130164_train2,3415
130165_train2,3402
130166_train2,3414
130167_train2,3417
130168_train2,3425
130169_train2,3413
130170_train2,3424
130171_train2,3416
130172_train2,3419
130173_train2,3430
130174_train2,3439
130175_train2,3424
130176_train2,3405
130177_train2,3422
130178_train2,3416
130179_train2,3419
130180_train2,3424
130181_train2,3417
130182_train2,3416
130183_train2,3423
130184_train2,3422
130185_train2,3419
130186_train2,3429
130187_train2,3419
130188_train2,3411
130189_train2,3431
130190_train2,3431
130191_train2,3431
130192_train2,3417
130193_train2,3419
130194_train2,3427
130195_train2,3422
130196_train2,3428
130197_train2,3420
130198_train2,3432
130199_train2,3441
130200_train2,3417
130201_train2,3431
130202_train2,3418
130203_train2,3417
130204_train2,3428
130205_train2,3415
130206_train2,3420
130207_train2,3409
130208_train2,3419
130209_train2,3436
130210_train2,3413
130211_train2,3424
130212_train2,3421
130213_train2,3428
130214_train2,3433
130215_train2,3418
130216_train2,3428
130217_train2,3437
130218_train2,3427
130219_train2,3425
130220_train2,3432
130221_train2,3426
130222_train2,3417
130223_train2,3440
130224_train2,3423
130225_train2,3432
130226_train2,3429
130227_train2,3433
130228_train2,3414
130229_train2,3423
130230_train2,3435
130231_train2,3434
130232_train2,3413
130233_train2,3432
130234_train2,3417
130235_train2,3424
130236_train2,3437
130237_train2,3414
130238_train2,3414
130239_train2,3427
130240_train2,3415
130241_train2,3422
130242_train2,3419
130243_train2,3417
130244_train2,3435
130245_train2,3401
130246_train2,3434
130247_train2,3423
130248_train2,3421
130249_train2,3420
130250_train2,3423
130251_train2,3421
130252_train2,3435
130253_train2,3431
130254_train2,3434
130255_train2,3420
130256_train2,3438
130257_train2,3419
130258_train2,3424
130259_train2,3415
130260_train2,3428
130261_train2,3410
130262_train2,3420
130263_train2,3423
130264_train2,3419
130265_train2,3427
130266_train2,3418
130267_train2,3419
130268_train2,3419
130269_train2,3418
130270_train2,3429
130271_train2,3427
130272_train2,3404
130273_train2,3428
130274_train2,3429
130275_train2,3422
130276_train2,3423
130277_train2,3421
130278_train2,3427
130279_train2,3430
130280_train2,3417
130281_train2,3421
130282_train2,3428
130283_train2,3422
130284_train2,3435
130285_train2,3414
130286_train2,3418
130287_train2,3418
130288_train2,3426
130289_train2,3422
130290_train2,3423
130291_train2,3415
130292_train2,3420
130293_train2,3415
130294_train2,3425
130295_train2,3407
130296_train2,3422
130297_train2,3416
130298_train2,3430
130299_train2,3422
130300_train2,3421
130301_train2,3416
130302_train2,3401
130303_train2,3422
130304_train2,3422
130305_train2,3409
130306_train2,3416
130307_train2,3426
130308_train2,3421
130309_train2,3419
130310_train2,3427
130311_train2,3436
130312_train2,3429
130313_train2,3418
130314_train2,3428
130315_train2,3423
130316_train2,3430
130317_train2,3431
130318_train2,3414
130319_train2,3418
130320_train2,3417
130321_train2,3421
130322_train2,3427
130323_train2,3419
130324_train2,3418
130325_train2,3417
130326_train2,3427
130327_train2,3430
