id,LQ80
0_train_0,-717094.8985324744
1_train_0,-331957.54191868915
2_train_0,-425532.15270643635
3_train_0,-306980.4597664126
4_train_0,-362746.9253659635
5_train_0,-260564.19269576925
6_train_0,-1064781.1678897394
7_train_0,-579023.3821300408
8_train_0,-1476088.4216718841
9_train_0,-423724.77645730134
10_train_0,-591388.9791648174
11_train_0,-2746646.7178768367
12_train_0,-385049.5710809594
13_train_0,-261490.412556201
14_train_0,-2615891.7744293753
15_train_0,-479082.8701159875
16_train_0,-394439.52265003417
17_train_0,-717107.0780111384
18_train_0,-599266.8658055589
19_train_0,-288778.9047691114
20_train_0,-2445736.88773939
21_train_0,-483400.214746343
22_train_0,-3218459.190084275
23_train_0,-2709687.3513758536
24_train_0,-753079.0499587478
25_train_0,-360152.65752903884
26_train_0,-426739.6793323355
27_train_0,-514196.3779795626
28_train_0,-424349.0856397869
29_train_0,-936040.678349562
30_train_0,-397965.05424768804
31_train_0,-321327.43206907576
32_train_0,-92416.52810087381
33_train_0,-336285.9809796591
34_train_0,-714907.036383275
35_train_0,-458305.0565467323
36_train_0,-210534.24732262176
37_train_0,-531956.9801323758
38_train_0,-438726.012451441
39_train_0,-1431443.5943019437
40_train_0,-671922.6426781351
41_train_0,-299946.2799621867
42_train_0,-355693.16665775515
43_train_0,-1989966.4033482987
44_train_0,-302760.78772142855
45_train_0,-547353.9324453888
46_train_0,-294876.683346516
47_train_0,-708667.1009013299
48_train_0,-297735.2324461406
49_train_0,-662300.8039014079
50_train_0,-304402.7229015485
51_train_0,-1186248.3786666766
52_train_0,-206628.96733753663
53_train_0,-1475416.321862109
54_train_0,-291938.3969325854
55_train_0,-854797.8630503044
56_train_0,-1038396.923463
57_train_0,-252756.75452467077
58_train_0,-390512.12927920977
59_train_0,-390205.2591918912
60_train_0,-317703.586002714
61_train_0,-228638.36048806505
62_train_0,-2219260.9388082195
63_train_0,-403370.5196991628
64_train_0,-277801.2158633331
65_train_0,-316521.62354955915
66_train_0,-2784314.035290681
67_train_0,-301624.94688079925
68_train_0,-214954.2844950105
69_train_0,-1240182.062013898
70_train_0,-1710085.7876574583
71_train_0,-376726.9786652569
72_train_0,-424900.2500084853
73_train_0,-300048.18779390515
74_train_0,-1754755.9070773534
75_train_0,-389724.59453050233
76_train_0,-461153.78161347425
77_train_0,-315219.71855012234
78_train_0,-430858.53346690116
79_train_0,-432759.1460930761
80_train_0,-336730.32417238504
81_train_0,-358111.31758106826
82_train_0,-2884083.822211262
83_train_0,-1117216.6491964143
84_train_0,-439929.6218642574
85_train_0,-339374.0540116299
86_train_0,-664291.8621001937
87_train_0,-258681.5684104159
88_train_0,-686810.337145362
89_train_0,-1013499.9585532248
90_train_0,-250865.11667490564
91_train_0,-456218.1801544912
92_train_0,-757843.5886387369
93_train_0,-501625.78077697195
94_train_0,-1018660.0601814557
95_train_0,-2592817.112374261
96_train_0,-3128175.234592762
97_train_0,-273195.4540358044
98_train_0,-311484.6998950355
99_train_0,-318778.23513585096
100_train_0,-798351.6285936227
101_train_0,-719122.8623711299
102_train_0,-1419952.5084353108
103_train_0,-2231962.95977683
104_train_0,-426757.34082221007
105_train_0,-301646.35195294116
106_train_0,-316185.1685173772
107_train_0,-407232.4359211726
108_train_0,-419666.7347728987
109_train_0,-2617985.817760611
110_train_0,-307036.8162801359
111_train_0,-952867.7647050489
112_train_0,-333110.5210846849
113_train_0,-1294040.9839092754
114_train_0,-149245.85195664177
115_train_0,-287135.31640780205
116_train_0,-380495.4206041959
117_train_0,-683135.7754171281
118_train_0,-547385.2961228024
119_train_0,-452160.2510801973
120_train_0,-1022216.6562441438
121_train_0,-725308.9147914303
122_train_0,-347116.77110471856
123_train_0,-326238.8142772254
124_train_0,-379276.541936785
125_train_0,-393636.2443442452
126_train_0,-901845.279838223
127_train_0,-1033676.1278866427
128_train_0,-285666.0302550986
129_train_0,-311660.23115907074
130_train_0,-1336980.244375188
131_train_0,-3118492.734331146
132_train_0,-1921504.968127979
133_train_0,-408892.9122160645
134_train_0,-162366.6754670099
135_train_0,-677910.522940767
136_train_0,-313759.045770149
137_train_0,-299238.3185374669
138_train_0,-337888.11422493774
139_train_0,-1369653.260001352
140_train_0,-400410.22775393724
141_train_0,-116705.58028335986
142_train_0,-370123.8006810164
143_train_0,-721542.6125080753
144_train_0,-2067191.284871826
145_train_0,-537078.1328514102
146_train_0,-274625.1185705615
147_train_0,-363552.84716444556
148_train_0,-292140.94363100687
149_train_0,-2709089.626694573
150_train_0,-879881.8664424671
151_train_0,-237134.68497309997
152_train_0,-294619.6392101629
153_train_0,-101613.43741757865
154_train_0,-563880.4700583499
155_train_0,-739383.0887171961
156_train_0,-678442.8532531513
157_train_0,-1683034.5090965908
158_train_0,-414747.98981194664
159_train_0,-375350.2424037638
160_train_0,-332608.09291366814
161_train_0,-316464.8561817957
162_train_0,-721121.7080745753
163_train_0,-982515.511947888
164_train_0,-1804788.5186838843
