id,ED
0_train_0,3409.0
1_train_0,3404.0
2_train_0,3411.0
3_train_0,3408.0
4_train_0,3406.0
5_train_0,3401.0
6_train_0,3413.0
7_train_0,3404.0
8_train_0,3412.0
9_train_0,3413.0
10_train_0,3405.0
11_train_0,3412.0
12_train_0,3407.0
13_train_0,3410.0
14_train_0,3401.0
15_train_0,3411.0
16_train_0,3410.0
17_train_0,3408.0
18_train_0,3400.0
19_train_0,3405.0
20_train_0,3412.0
21_train_0,3412.0
22_train_0,3408.0
23_train_0,3413.0
24_train_0,3400.0
25_train_0,3405.0
26_train_0,3412.0
27_train_0,3415.0
28_train_0,3411.0
29_train_0,3388.0
30_train_0,3408.0
31_train_0,3404.0
32_train_0,3404.0
33_train_0,3410.0
34_train_0,3408.0
35_train_0,3407.0
36_train_0,3411.0
37_train_0,3410.0
38_train_0,3407.0
39_train_0,3406.0
40_train_0,3415.0
41_train_0,3405.0
42_train_0,3407.0
43_train_0,3410.0
44_train_0,3405.0
45_train_0,3406.0
46_train_0,3401.0
47_train_0,3408.0
48_train_0,3405.0
49_train_0,3406.0
50_train_0,3408.0
51_train_0,3409.0
52_train_0,3412.0
53_train_0,3412.0
54_train_0,3404.0
55_train_0,3412.0
56_train_0,3431.0
57_train_0,3407.0
58_train_0,3404.0
59_train_0,3407.0
60_train_0,3401.0
61_train_0,3408.0
62_train_0,3410.0
63_train_0,3409.0
64_train_0,3408.0
65_train_0,3404.0
66_train_0,3410.0
67_train_0,3410.0
68_train_0,3408.0
69_train_0,3414.0
70_train_0,3415.0
71_train_0,3412.0
72_train_0,3408.0
73_train_0,3405.0
74_train_0,3406.0
75_train_0,3403.0
76_train_0,3412.0
77_train_0,3412.0
78_train_0,3403.0
79_train_0,3410.0
80_train_0,3408.0
81_train_0,3408.0
82_train_0,3413.0
83_train_0,3408.0
84_train_0,3407.0
85_train_0,3412.0
86_train_0,3405.0
87_train_0,3407.0
88_train_0,3410.0
89_train_0,3416.0
90_train_0,3404.0
91_train_0,3406.0
92_train_0,3412.0
93_train_0,3406.0
94_train_0,3409.0
95_train_0,3409.0
96_train_0,3412.0
97_train_0,3404.0
98_train_0,3404.0
99_train_0,3404.0
100_train_0,3405.0
101_train_0,3405.0
102_train_0,3415.0
103_train_0,3411.0
104_train_0,3405.0
105_train_0,3410.0
106_train_0,3408.0
107_train_0,3412.0
108_train_0,3413.0
109_train_0,3413.0
110_train_0,3405.0
111_train_0,3406.0
112_train_0,3405.0
113_train_0,3407.0
114_train_0,3433.0
115_train_0,3407.0
116_train_0,3404.0
117_train_0,3409.0
118_train_0,3410.0
119_train_0,3410.0
120_train_0,3411.0
121_train_0,3409.0
122_train_0,3409.0
123_train_0,3410.0
124_train_0,3410.0
125_train_0,3410.0
126_train_0,3413.0
127_train_0,3406.0
128_train_0,3405.0
129_train_0,3405.0
130_train_0,3410.0
131_train_0,3408.0
132_train_0,3416.0
133_train_0,3409.0
134_train_0,3408.0
135_train_0,3412.0
136_train_0,3402.0
137_train_0,3405.0
138_train_0,3408.0
139_train_0,3408.0
140_train_0,3403.0
141_train_0,3404.0
142_train_0,3410.0
143_train_0,3408.0
144_train_0,3414.0
145_train_0,3414.0
146_train_0,3403.0
147_train_0,3403.0
148_train_0,3407.0
149_train_0,3413.0
150_train_0,3408.0
151_train_0,3404.0
152_train_0,3404.0
153_train_0,3408.0
154_train_0,3411.0
155_train_0,3405.0
156_train_0,3409.0
157_train_0,3412.0
158_train_0,3409.0
159_train_0,3411.0
160_train_0,3409.0
161_train_0,3409.0
162_train_0,3407.0
163_train_0,3411.0
164_train_0,3413.0
165_train_0,3410.0
166_train_0,3406.0
167_train_0,3408.0
168_train_0,3411.0
169_train_0,3411.0
170_train_0,3410.0
171_train_0,3412.0
172_train_0,3410.0
173_train_0,3413.0
174_train_0,3410.0
175_train_0,3413.0
176_train_0,3417.0
177_train_0,3416.0
178_train_0,3403.0
179_train_0,3411.0
180_train_0,3403.0
181_train_0,3402.0
182_train_0,3410.0
183_train_0,3407.0
184_train_0,3403.0
185_train_0,3405.0
186_train_0,3410.0
187_train_0,3410.0
188_train_0,3413.0
189_train_0,3410.0
190_train_0,3413.0
191_train_0,3409.0
192_train_0,3409.0
193_train_0,3410.0
194_train_0,3409.0
195_train_0,3410.0
196_train_0,3410.0
197_train_0,3409.0
198_train_0,3404.0
199_train_0,3407.0
200_train_0,3405.0
201_train_0,3409.0
202_train_0,3413.0
203_train_0,3403.0
204_train_0,3417.0
205_train_0,3408.0
206_train_0,3403.0
207_train_0,3409.0
208_train_0,3416.0
209_train_0,3412.0
210_train_0,3402.0
211_train_0,3411.0
212_train_0,3404.0
213_train_0,3405.0
214_train_0,3409.0
215_train_0,3410.0
216_train_0,3411.0
217_train_0,3411.0
218_train_0,3403.0
219_train_0,3406.0
220_train_0,3406.0
221_train_0,3405.0
222_train_0,3411.0
223_train_0,3388.0
224_train_0,3410.0
225_train_0,3413.0
226_train_0,3400.0
227_train_0,3415.0
228_train_0,3410.0
229_train_0,3406.0
230_train_0,3409.0
231_train_0,3404.0
232_train_0,3414.0
233_train_0,3409.0
234_train_0,3405.0
235_train_0,3414.0
236_train_0,3410.0
237_train_0,3417.0
238_train_0,3410.0
239_train_0,3410.0
240_train_0,3414.0
241_train_0,3404.0
242_train_0,3410.0
243_train_0,3407.0
244_train_0,3402.0
245_train_0,3410.0
246_train_0,3402.0
247_train_0,3407.0
248_train_0,3410.0
249_train_0,3408.0
250_train_0,3407.0
251_train_0,3409.0
252_train_0,3410.0
253_train_0,3405.0
254_train_0,3408.0
255_train_0,3402.0
256_train_0,3411.0
257_train_0,3406.0
258_train_0,3408.0
259_train_0,3407.0
260_train_0,3406.0
261_train_0,3414.0
262_train_0,3417.0
263_train_0,3406.0
264_train_0,3406.0
265_train_0,3409.0
266_train_0,3404.0
267_train_0,3382.0
268_train_0,3409.0
269_train_0,3404.0
270_train_0,3411.0
271_train_0,3410.0
272_train_0,3404.0
273_train_0,3412.0
274_train_0,3407.0
275_train_0,3411.0
276_train_0,3403.0
277_train_0,3409.0
278_train_0,3414.0
279_train_0,3409.0
280_train_0,3411.0
281_train_0,3404.0
282_train_0,3407.0
283_train_0,3408.0
284_train_0,3407.0
285_train_0,3409.0
286_train_0,3405.0
287_train_0,3403.0
288_train_0,3404.0
289_train_0,3415.0
290_train_0,3402.0
291_train_0,3413.0
292_train_0,3408.0
293_train_0,3407.0
294_train_0,3408.0
295_train_0,3408.0
296_train_0,3406.0
297_train_0,3405.0
298_train_0,3414.0
299_train_0,3418.0
300_train_0,3409.0
301_train_0,3406.0
302_train_0,3408.0
303_train_0,3410.0
304_train_0,3408.0
305_train_0,3407.0
306_train_0,3410.0
307_train_0,3414.0
308_train_0,3384.0
309_train_0,3407.0
310_train_0,3405.0
