id,LQ80
130000_train2,-444747.1726885708
130001_train2,-119418.3365298931
130002_train2,-301925.39918480953
130003_train2,-344868.3171195593
130004_train2,-382390.76101443917
130005_train2,-314421.8018501613
130006_train2,-3185747.514959164
130007_train2,-326882.43087356724
130008_train2,-660493.9524194351
130009_train2,-450338.81151112076
130010_train2,-733068.8957228595
130011_train2,-429040.5631882143
130012_train2,-317950.128635766
130013_train2,-664673.6504695122
130014_train2,-303521.20038969815
130015_train2,-3020707.6852178425
130016_train2,-1890707.9376671948
130017_train2,-308297.1101660207
130018_train2,-572786.5218292614
130019_train2,-851225.8425939642
130020_train2,-414564.4688343685
130021_train2,-709183.1836444
130022_train2,-117423.69199088134
130023_train2,-642394.257766684
130024_train2,-304267.12909278367
130025_train2,-277495.71331632417
130026_train2,-318761.6504942805
130027_train2,-1043240.2801267682
130028_train2,-332087.9558884627
130029_train2,-26740.90253731422
130030_train2,-611491.0649300814
130031_train2,-186256.06117723975
130032_train2,-661259.6450970368
130033_train2,-310594.2617356181
130034_train2,-703805.8268465269
130035_train2,-345783.27387303207
130036_train2,-708210.8818003852
130037_train2,-88781.84525491297
130038_train2,-2647225.5138078537
130039_train2,-642657.2471916899
130040_train2,-2921007.15586251
130041_train2,-311819.59618510585
130042_train2,-597036.685773232
130043_train2,-2210371.465178523
130044_train2,-306574.02476842003
130045_train2,-764955.1646802211
130046_train2,-312961.9934308212
130047_train2,-291788.5425910442
130048_train2,-1859531.3339692615
130049_train2,-297589.62678120565
130050_train2,-2791759.2357564904
130051_train2,-915797.1893076524
130052_train2,-354371.804967558
130053_train2,-1256677.5103359688
130054_train2,-414671.4476090935
130055_train2,-569899.6143344594
130056_train2,-302046.32408170355
130057_train2,-1460516.4448895976
130058_train2,-219733.4954616637
130059_train2,-34944.74932164652
130060_train2,-303894.557912488
130061_train2,-404272.6046228572
130062_train2,-2517893.10082604
130063_train2,-308551.0605964218
130064_train2,-530770.9043065077
130065_train2,-418412.60608848184
130066_train2,-414572.6121679703
130067_train2,-325440.22739362996
130068_train2,-536301.9488529474
130069_train2,-950104.7149633244
130070_train2,-352217.51926950226
130071_train2,-975008.9666868635
130072_train2,-703861.3897384452
130073_train2,-2106976.0342726856
130074_train2,-691379.2879862026
130075_train2,-100350.02048653248
130076_train2,-91620.88405809831
130077_train2,-302977.63161081914
130078_train2,-273599.59640882234
130079_train2,-377582.0610418855
130080_train2,-692120.3142156121
130081_train2,-661539.2250355314
130082_train2,-303913.3568915555
130083_train2,-2983966.0488246754
130084_train2,-206109.09193778574
130085_train2,-226063.6513539413
130086_train2,-114930.2793012883
130087_train2,-390619.9369989289
130088_train2,-290068.04816053575
130089_train2,-428401.17400542693
130090_train2,-489788.062892396
130091_train2,-115125.2024479874
130092_train2,-432940.95348026743
130093_train2,-2348776.4567891452
130094_train2,-312768.818242081
130095_train2,-385100.01569217537
130096_train2,-441932.3753261389
130097_train2,-153699.5482283712
130098_train2,-263835.2487339671
130099_train2,-242446.8046995676
130100_train2,-284741.24147171574
130101_train2,-2979683.5663185418
130102_train2,-388247.676706641
130103_train2,-509970.85618457105
130104_train2,-2763789.1190212574
130105_train2,-306957.942662369
130106_train2,-412046.0522342501
130107_train2,-498554.0001091929
130108_train2,-325797.44095290964
130109_train2,-631434.829747384
130110_train2,-1880149.2732463144
130111_train2,-787752.2923870459
130112_train2,-2800661.733364418
130113_train2,-314053.95442440826
130114_train2,-511825.5391827887
130115_train2,-728306.5461177789
130116_train2,-485344.45550097944
130117_train2,-2663874.092243068
130118_train2,-299727.9159699995
130119_train2,-2401641.9872606657
130120_train2,-290035.28837400395
130121_train2,-479622.5706641623
130122_train2,-17222.367578779405
130123_train2,-174347.20193903428
130124_train2,-267744.2426113554
130125_train2,-925252.149288997
130126_train2,-270904.9882264063
130127_train2,-1150476.2695297347
130128_train2,-300156.5739721765
130129_train2,-259402.69147037948
130130_train2,-430507.77164348634
130131_train2,-1062087.4594508018
130132_train2,-97941.43161715858
130133_train2,-703721.6480431426
130134_train2,-2828130.677751474
130135_train2,-2405164.498794457
130136_train2,-815728.6351652863
130137_train2,-624376.9412286999
130138_train2,-636430.2302821558
130139_train2,-395509.8222813527
130140_train2,-85653.70911010203
130141_train2,-80265.04126244527
130142_train2,-468675.5536242891
130143_train2,-300484.9342945749
130144_train2,-256160.50417900458
130145_train2,-91110.6527625604
130146_train2,-314695.6051507208
130147_train2,-385169.2631003307
130148_train2,-331066.9895023084
130149_train2,-518369.769433097
130150_train2,-298011.7364315968
130151_train2,-359166.4891618369
130152_train2,-368732.86159249535
130153_train2,-1709101.3083132245
130154_train2,-317825.66243281006
130155_train2,-3092617.341597814
130156_train2,-405147.4813125506
130157_train2,-71456.64742413396
130158_train2,-528831.8672308866
130159_train2,-340577.69501694944
130160_train2,-279268.17551560234
130161_train2,-424076.4677872476
130162_train2,-367290.2979940204
130163_train2,-586901.5427137557
130164_train2,-296296.8159325612
130165_train2,-789068.7663588766
130166_train2,-3180172.2292662524
130167_train2,-923219.4190950533
130168_train2,-377482.58230343834
130169_train2,-1297639.930138098
130170_train2,-314995.88662789133
130171_train2,-1420040.2404331444
130172_train2,-2139143.0466921814
130173_train2,-401762.85141326487
130174_train2,-196900.4417961873
130175_train2,-620921.5034173029
130176_train2,-300811.91657853173
130177_train2,-628462.7499548374
130178_train2,-710390.4380774782
130179_train2,-295023.9708809939
130180_train2,-273391.2859881539
130181_train2,-1687764.9715691283
130182_train2,-1320782.9622319862
130183_train2,-254353.00804656046
130184_train2,-336176.44153433945
130185_train2,-273666.56553122425
130186_train2,-808110.1425069533
130187_train2,-2752314.783290904
130188_train2,-2263630.4323962517
130189_train2,-185774.00888049835
130190_train2,-300079.4166523258
130191_train2,-339699.95576956123
130192_train2,-823477.2492988277
130193_train2,-604293.2880395921
130194_train2,-156553.6223043747
130195_train2,-1525839.3414894268
130196_train2,-614323.0078580431
130197_train2,-504086.99802409764
130198_train2,-183164.8853021306
130199_train2,-49340.53955940227
130200_train2,-2871102.1759891286
130201_train2,-546580.2923749024
130202_train2,-681173.6243226985
130203_train2,-405071.4266785318
130204_train2,-279450.7027565427
130205_train2,-719823.3533788789
130206_train2,-255596.406341905
130207_train2,-2418065.9023868106
130208_train2,-686206.4473230671
130209_train2,-320917.66529093636
130210_train2,-2677428.030236874
130211_train2,-290688.20632788073
130212_train2,-1799161.9734108578
130213_train2,-353501.7163791093
130214_train2,-320882.3095236076
130215_train2,-2579374.9096939918
130216_train2,-630654.4029194498
130217_train2,-280052.94458403834
130218_train2,-260412.2700842959
130219_train2,-313631.32043305365
130220_train2,-94802.17934865016
130221_train2,-290477.30917485757
130222_train2,-387300.5170576833
130223_train2,-235696.43771831226
130224_train2,-345235.9907591045
130225_train2,-313824.9788153018
130226_train2,-264784.1239705968
130227_train2,-312344.15531469625
130228_train2,-2343712.6710320935
130229_train2,-670837.1782528874
130230_train2,-313788.1437659287
130231_train2,-177792.56642257608
130232_train2,-2501141.2266871575
130233_train2,-300811.8234394025
130234_train2,-1869954.8043208253
130235_train2,-193566.1885010884
130236_train2,-136236.59611817263
130237_train2,-2854925.8430004325
130238_train2,-808249.8716283906
130239_train2,-298271.0168260834
130240_train2,-1995386.2753928825
130241_train2,-353364.66916511673
130242_train2,-278422.0433241518
130243_train2,-3080523.5519429483
130244_train2,-288569.95272469847
130245_train2,-117543.59056338458
130246_train2,-291289.2727015647
130247_train2,-562828.8134213705
130248_train2,-299677.23538047215
130249_train2,-2786823.6794384737
130250_train2,-1199507.548552569
130251_train2,-2921578.508255493
130252_train2,-290470.97855174635
130253_train2,-421700.9053743109
130254_train2,-338685.9129046099
130255_train2,-1921097.411555713
130256_train2,-224526.06498170504
130257_train2,-2389681.4765611663
130258_train2,-263025.34228476253
130259_train2,-640074.6901914943
130260_train2,-335756.22538896324
130261_train2,-2776260.1420173533
130262_train2,-879089.542131478
130263_train2,-422458.97340621706
130264_train2,-473815.8184115356
130265_train2,-620823.1734471554
130266_train2,-625142.4746291866
130267_train2,-1432982.9470665269
130268_train2,-1673998.8276652843
130269_train2,-2353251.9368411526
130270_train2,-260734.74366804492
130271_train2,-306662.94164456334
130272_train2,-121272.7780395709
130273_train2,-292212.2214204166
130274_train2,-295987.38235501945
130275_train2,-319741.42505212943
130276_train2,-728915.0166792572
130277_train2,-472639.4649660345
130278_train2,-334761.4072615183
130279_train2,-56642.417098056525
130280_train2,-301932.9491711706
130281_train2,-611930.6737989848
130282_train2,-347116.3362984122
130283_train2,-294755.2714349418
130284_train2,-363923.32086503506
130285_train2,-108757.77770332503
130286_train2,-314144.01847997005
130287_train2,-2760344.598416645
130288_train2,-744364.0101487208
130289_train2,-389958.8080412708
130290_train2,-209693.8002026761
130291_train2,-3039028.982315719
130292_train2,-877650.8614007961
130293_train2,-1052339.13498828
130294_train2,-177391.4651843747
130295_train2,-421547.32801316306
130296_train2,-637139.2222447111
130297_train2,-1672929.6020284928
130298_train2,-383378.2456497457
130299_train2,-623521.1494827028
130300_train2,-613163.966081528
130301_train2,-84194.33923911257
130302_train2,-77864.66353352764
130303_train2,-270564.2887027622
130304_train2,-263060.45720859384
130305_train2,-2740063.450144261
130306_train2,-2557373.3402643036
130307_train2,-706260.0866896193
130308_train2,-1743438.74657524
130309_train2,-268413.29620182165
130310_train2,-128134.35518149077
130311_train2,-282932.53496855916
130312_train2,-315229.52162876166
130313_train2,-2607793.6376124024
130314_train2,-215424.3587236458
130315_train2,-2940993.161053695
130316_train2,-272056.1053446906
130317_train2,-254815.17080903216
130318_train2,-719314.7753075175
130319_train2,-665194.2845490547
130320_train2,-460145.5599643681
130321_train2,-1058048.4770473205
130322_train2,-297842.6959565538
130323_train2,-2998549.411655821
130324_train2,-503731.02048601676
130325_train2,-297211.93544732546
130326_train2,-358612.8521814756
130327_train2,-109604.84704581206
130328_train2,-406978.97609396
130329_train2,-3141208.345354732
130330_train2,-609465.025387506
130331_train2,-269026.0879439167
130332_train2,-316714.5922288918
130333_train2,-308150.9755274637
130334_train2,-336378.2103230781
130335_train2,-706321.1057097865
130336_train2,-294274.0589067838
130337_train2,-302053.7660526121
130338_train2,-522313.8973693149
130339_train2,-291172.44498216617
130340_train2,-2601396.359813992
130341_train2,-436058.54214430973
130342_train2,-262880.6735867583
130343_train2,-317488.7403908323
130344_train2,-398794.98861825746
130345_train2,-325288.56113559124
130346_train2,-391793.39602538384
130347_train2,-713673.2631853726
130348_train2,-293045.17164185224
130349_train2,-881472.4032875113
130350_train2,-409388.35625147074
130351_train2,-323879.6228470388
130352_train2,-3138313.7620509155
130353_train2,-3020334.525422517
130354_train2,-315002.9282003774
130355_train2,-745774.5633241385
130356_train2,-298275.65326900594
130357_train2,-368712.19320280664
130358_train2,-305073.54261968075
130359_train2,-956389.5497592352
130360_train2,-460636.3559414223
130361_train2,-788380.4691423541
130362_train2,-313351.8387475563
130363_train2,-633496.9306347026
130364_train2,-437257.70426113065
130365_train2,-85303.64092999347
130366_train2,-369749.5793061666
130367_train2,-390518.1304706065
130368_train2,-451899.3801686475
130369_train2,-310575.6603139853
130370_train2,-272252.53477123054
130371_train2,-23195.364489783882
130372_train2,-1975398.3383031525
130373_train2,-1087808.974782912
130374_train2,-688970.6875646119
130375_train2,-735189.4122334644
130376_train2,-267895.3270138104
130377_train2,-1513529.651787391
130378_train2,-697402.6909315586
130379_train2,-3033871.26438193
130380_train2,-605856.1603638474
130381_train2,-405579.44439517986
130382_train2,-668448.5976196597
130383_train2,-328165.8074640194
130384_train2,-668838.7481649914
130385_train2,-297628.71674401034
130386_train2,-701711.5833539832
130387_train2,-2484967.706880644
130388_train2,-1357753.9394510537
130389_train2,-406350.35223780666
130390_train2,-108237.94345701556
130391_train2,-464174.87909249775
130392_train2,-358285.49976268644
130393_train2,-192444.24106645212
130394_train2,-1144085.006818924
130395_train2,-484185.05834153574
130396_train2,-619922.5882843086
130397_train2,-97628.09747382556
130398_train2,-364545.43002482085
130399_train2,-132801.5409121567
130400_train2,-288358.5090917046
130401_train2,-356974.49021007074
130402_train2,-236668.22636116622
130403_train2,-318440.64458453376
130404_train2,-326442.2613178906
130405_train2,-248862.01679234672
130406_train2,-527189.3021292812
130407_train2,-281544.576709053
130408_train2,-367171.55108086485
130409_train2,-281319.1624833718
130410_train2,-288372.7894735178
130411_train2,-334705.9756515443
130412_train2,-247863.095878487
130413_train2,-1037681.6648183241
130414_train2,-305180.9824470319
130415_train2,-529033.5287106829
130416_train2,-235057.7418082268
130417_train2,-1965375.685200179
130418_train2,-1909139.5560051613
130419_train2,-396168.3680972839
130420_train2,-426755.79596179305
130421_train2,-518913.962853231
130422_train2,-310212.2476998053
130423_train2,-1430728.5346436892
130424_train2,-296616.74059567275
130425_train2,-814386.7370848069
130426_train2,-2482881.2716030944
130427_train2,-208481.6048480752
130428_train2,-282964.0901266616
130429_train2,-681385.7958785756
130430_train2,-389362.46688020974
130431_train2,-309892.6049080703
130432_train2,-1248750.6027803607
130433_train2,-442770.31328377407
130434_train2,-312643.38184350776
130435_train2,-2495700.083637433
130436_train2,-737117.2414902635
130437_train2,-492143.7122561494
130438_train2,-1523299.5887713898
130439_train2,-70812.11168275366
130440_train2,-324724.44251333456
130441_train2,-1668694.4291310813
130442_train2,-313694.9884947608
130443_train2,-358648.2542646555
130444_train2,-680680.5248883097
130445_train2,-300971.0070485093
130446_train2,-305455.48744613584
130447_train2,-298562.1990899632
130448_train2,-39734.12682325038
130449_train2,-727307.982050383
130450_train2,-2560490.075077802
130451_train2,-611202.1757152304
130452_train2,-2276241.554132413
130453_train2,-623436.1829367485
130454_train2,-2829445.097822452
130455_train2,-3071334.7045176923
130456_train2,-1084296.0874438826
130457_train2,-304014.79575641965
130458_train2,-563674.2811182728
130459_train2,-2530669.7919311784
130460_train2,-2819882.779644886
130461_train2,-440799.4405439971
130462_train2,-2854393.7656465694
130463_train2,-619660.0878933356
130464_train2,-281579.3496132698
130465_train2,-504952.520622395
130466_train2,-317333.8093972001
130467_train2,-433337.9688544795
130468_train2,-2297268.6218196414
130469_train2,-196724.97722459957
130470_train2,-303062.47355461516
130471_train2,-2574032.9131949097
130472_train2,-305050.62775340234
130473_train2,-779989.246015585
130474_train2,-322813.2614967122
